ERC,Requires,TOKEN
ERC-20,No 'Requires' section found.,TOKEN
ERC-721,EIP-165,TOKEN
ERC-223,No 'Requires' section found.,Not a TOKEN
ERC-777,EIP-1820,TOKEN
ERC-1155,EIP-165,TOKEN
ERC-884,No 'Requires' section found.,Not a TOKEN
ERC-998,"EIP-20, 

  EIP-165, 

  EIP-721",TOKEN
ERC-875,No 'Requires' section found.,Not a TOKEN
ERC-1046,"EIP-20, 

  EIP-721, 

  EIP-1155",TOKEN
ERC-1363,"EIP-20, 

  EIP-165",TOKEN
ERC-2309,EIP-721,TOKEN
ERC-2612,"EIP-20, 

  EIP-712",TOKEN
ERC-1948,EIP-721,TOKEN
ERC-1261,"EIP-165, 

  EIP-173",Not a TOKEN
ERC-1337,"EIP-20, 

  EIP-165",TOKEN
ERC-2021,"EIP-20, 

  EIP-1066, 

  EIP-1996",TOKEN
ERC-2018,EIP-1996,Not a TOKEN
ERC-2019,EIP-20,TOKEN
ERC-1996,EIP-20,TOKEN
ERC-2020,"EIP-20, 

  EIP-1066, 

  EIP-1996, 

  EIP-2009, 

  EIP-2018, 

  EIP-2019, 

  EIP-2021",TOKEN
ERC-2981,EIP-165,Not a TOKEN
ERC-3135,EIP-20,TOKEN
ERC-3440,"EIP-712, 

  EIP-721",Not a TOKEN
ERC-3589,EIP-721,TOKEN
ERC-3754,No 'Requires' section found.,Not a TOKEN
ERC-4494,"EIP-165, 

  EIP-712, 

  EIP-721",Not a TOKEN
ERC-4524,"EIP-20, 

  EIP-165",TOKEN
ERC-4675,"EIP-165, 

  EIP-721",Not a TOKEN
ERC-3525,"EIP-20, 

  EIP-165, 

  EIP-721",TOKEN
ERC-3643,"EIP-20, 

  EIP-173",TOKEN
ERC-4400,"EIP-165, 

  EIP-721",Not a TOKEN
ERC-4519,"EIP-165, 

  EIP-721",Not a TOKEN
ERC-4626,"EIP-20, 

  EIP-2612",TOKEN
ERC-4906,"EIP-165, 

  EIP-721",Not a TOKEN
ERC-4907,"EIP-165, 

  EIP-721",TOKEN
ERC-4910,"EIP-165, 

  EIP-721",Not a TOKEN
ERC-4955,"EIP-721, 

  EIP-1155",TOKEN
ERC-5006,"EIP-165, 

  EIP-1155",Not a TOKEN
ERC-5007,"EIP-165, 

  EIP-721",Not a TOKEN
ERC-5023,EIP-165,Not a TOKEN
ERC-5169,"EIP-20, 

  EIP-165, 

  EIP-721, 

  EIP-777, 

  EIP-1155",TOKEN
ERC-5192,"EIP-165, 

  EIP-721",TOKEN
ERC-5267,"EIP-155, 

  EIP-712, 

  EIP-2612",Not a TOKEN
ERC-5375,"EIP-55, 

  EIP-155, 

  EIP-712, 

  EIP-721, 

  EIP-1155",Not a TOKEN
ERC-5380,"EIP-165, 

  EIP-721, 

  EIP-1046",TOKEN
ERC-5484,"EIP-165, 

  EIP-721",Not a TOKEN
ERC-5489,"EIP-165, 

  EIP-721",Not a TOKEN
ERC-5507,"EIP-20, 

  EIP-165, 

  EIP-721, 

  EIP-1155",TOKEN
ERC-5521,"EIP-165, 

  EIP-721",Not a TOKEN
ERC-5528,EIP-20,TOKEN
ERC-5570,EIP-721,TOKEN
ERC-5585,EIP-721,TOKEN
ERC-5606,"EIP-721, 

  EIP-1155",TOKEN
ERC-5615,EIP-1155,TOKEN
ERC-5646,EIP-165,Not a TOKEN
ERC-5679,"EIP-20, 

  EIP-165, 

  EIP-721, 

  EIP-1155",TOKEN
ERC-5725,EIP-721,TOKEN
ERC-5773,"EIP-165, 

  EIP-721",Not a TOKEN
ERC-6059,"EIP-165, 

  EIP-721",Not a TOKEN
ERC-6066,"EIP-165, 

  EIP-721, 

  EIP-1155, 

  EIP-1271, 

  EIP-5750",Not a TOKEN
ERC-6105,"EIP-20, 

  EIP-165, 

  EIP-721, 

  EIP-2981",TOKEN
ERC-6147,"EIP-165, 

  EIP-721",Not a TOKEN
ERC-6150,"EIP-165, 

  EIP-721",Not a TOKEN
ERC-6220,"EIP-165, 

  EIP-721, 

  EIP-5773, 

  EIP-6059",Not a TOKEN
ERC-6239,"EIP-165, 

  EIP-721, 

  EIP-5192",Not a TOKEN
ERC-6381,EIP-165,Not a TOKEN
ERC-6454,"EIP-165, 

  EIP-721",Not a TOKEN
ERC-6492,EIP-1271,Not a TOKEN
ERC-6672,"EIP-165, 

  EIP-721",Not a TOKEN
ERC-6808,EIP-20,TOKEN
ERC-6809,EIP-721,TOKEN
ERC-6982,"EIP-165, 

  EIP-721",Not a TOKEN
ERC-7160,"EIP-165, 

  EIP-721",Not a TOKEN
ERC-7231,"EIP-165, 

  EIP-721, 

  EIP-1271",Not a TOKEN
ERC-7401,"EIP-165, 

  EIP-721",Not a TOKEN
ERC-7409,EIP-165,Not a TOKEN
